"id","category","subtype","name","path","description","notes"
"1.1","database","table","usuarios_info","src/db/schema.ts:usuariosInfo","Perfis de usuário (id Clerk, re, email, nome_guerra, opm, numero_oficio_sei, role, posto_graduacao, created_at)","Primary: usuarios_info.id = Clerk user id"
"1.2","database","table","agendamentos","src/db/schema.ts:agendamentos","Registros de agendamentos (id, solicitante_id, data_hora, motivo, status, por_intermedio_servico, created_at)","Slots de 30 minutos"
"1.3","database","table","bloqueios","src/db/schema.ts:bloqueios","Períodos bloqueados (id, inicio, fim, motivo, criado_por_id, created_at)","Usado para bloquear datas/horários"
"1.4","database","table","notificacoes","src/db/schema.ts:notificacoes","Notificações internas (id, usuario_id, mensagem, lida, created_at)","Admins e usuários recebem notificações"
"2.1","integration","auth","Clerk","src/middleware.ts; src/app/layout.tsx","Provedor de identidade e proteção de rotas","Protege rotas não públicas"
"2.2","integration","database","Turso (@libsql)","drizzle.config.ts; src/db/index.ts","Banco hospedado LibSQL/Turso usado com Drizzle ORM","Variáveis: TURSO_CONNECTION_URL, TURSO_AUTH_TOKEN"
"2.3","integration","orm","Drizzle ORM / drizzle-kit","drizzle.config.ts; src/db/schema.ts","Definição de schema e migrations","Migrations em src/db/migrations"
"2.4","integration","email","Resend","src/lib/email.ts","Envio de e-mails de confirmação e relatórios","Variável: RESEND_API_KEY"
"2.5","framework","web","Next.js (app router)","package.json; src/app","Frontend + API routes + server components","Next 16.1.6"
"2.6","lib","utility","date-fns, zod, react-hook-form","package.json","Validação, manipulação de datas e formulários",""
"3.1","api","cron","relatorio-passado","src/app/api/cron/relatorio-passado/route.ts","Gera relatório da semana passada e notifica admins via notificacoes + email","Usado por Cron externo (Vercel Cron)"
"3.2","api","cron","relatorio-futuro","src/app/api/cron/relatorio-futuro/route.ts","Gera previsão para a próxima semana e notifica admins","Proteger endpoint com CRON_SECRET"
"3.3","api","server-actions","server actions (coleção)","src/server/actions/","Funções server-side chamadas por server components / handlers","Listadas abaixo"
"4.1","action","function","criarAgendamento","src/server/actions/agendamentos.ts:criarAgendamento","Valida dados (zod), cria agendamento, envia e-mail de confirmação e revalida path","Retorna protocolo"
"4.2","action","function","criarEncaixe","src/server/actions/agendamentos.ts:criarEncaixe","Cria agendamento imediato (encaixe) com protocolo ENC-...","Usado por admins"
"4.3","action","function","cancelarAgendamento","src/server/actions/agendamentos.ts:cancelarAgendamento","Valida permissões e atualiza status para 'Cancelado'","Só agendamentos com status 'Agendado'"
"4.4","action","function","getAgendamentos","src/server/actions/agendamentos.ts:getAgendamentos","Retorna lista de agendamentos (join com usuarios_info) com filtro por role","Retorna rows ordenadas por dataHora"
